Customer_id,Children,Age,Income,Marital,Gender,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Churn
S985225,5,32,9516,Divorced,Male,Mailed Check,5,220,1244,Yes
X645702,0,47,125815,Divorced,Female,Mailed Check,6,140,1162,Yes
I703479,8,66,12996,Divorced,Female,Mailed Check,3,160,577,No
S370452,1,70,77531,Divorced,Female,Bank Transfer(automatic),9,185,1443,Yes
D333249,3,41,87355,Divorced,Male,Mailed Check,10,253,1577,Yes
O698848,2,59,76568,Separated,Male,Bank Transfer(automatic),9,112,887,No
M248356,1,46,30664,Married,Male,Electronic Check,8,180,1065,No
E759213,3,70,122957,Married,Male,Bank Transfer(automatic),6,202,952,No
G106476,1,89,31601,Widowed,Male,Bank Transfer(automatic),7,197,1404,No
D873414,4,75,74639,Never Married,Female,Mailed Check,15,255,1926,Yes
X906302,0,26,32652,Married,Female,Electronic Check,12,175,1805,Yes
Z245249,4,25,63651,Divorced,Female,Electronic Check,4,170,701,No
T30358,1,84,28623,Widowed,Female,Bank Transfer(automatic),3,192,513,Yes
K974027,3,69,50253,Never Married,Male,Bank Transfer(automatic),3,182,717,No
R464272,3,31,19801,Divorced,Male,Credit Card (automatic),5,140,1313,No
Q541158,10,76,35955,Married,Male,Electronic Check,3,137,819,Yes
O707075,8,75,36342,Divorced,Male,Bank Transfer(automatic),3,217,882,Yes
L229402,1,74,48716,Divorced,Male,Mailed Check,3,210,725,Yes
Y259927,1,49,23205,Divorced,Male,Electronic Check,16,105,1829,No
G820541,1,47,35303,Separated,Male,Bank Transfer(automatic),12,263,1668,Yes
F672614,4,20,54895,Married,Female,Credit Card (automatic),7,152,1124,Yes
L686627,2,26,60398,Never Married,Female,Credit Card (automatic),6,175,1316,Yes
T660448,2,72,8116,Never Married,Female,Credit Card (automatic),15,220,1637,No
G864898,1,41,33859,Divorced,Male,Mailed Check,6,162,952,No
V847401,3,26,29950,Married,Female,Mailed Check,3,185,1248,Yes
X852253,4,55,49422,Separated,Male,Electronic Check,19,217,2220,No
M482085,1,46,11061,Married,Female,Mailed Check,14,220,1669,No
L535753,0,87,15388,Separated,Female,Bank Transfer(automatic),8,188,990,Yes
K265986,1,39,20624,Divorced,Male,Electronic Check,6,175,968,No
C695447,0,81,47878,Married,Male,Electronic Check,20,253,2190,Yes
T484755,0,83,46154,Never Married,Male,Credit Card (automatic),15,130,1446,No
X999392,0,50,107112,Widowed,Female,Credit Card (automatic),3,162,529,Yes
N995093,3,87,10404,Married,Female,Bank Transfer(automatic),12,182,1296,Yes
D478815,3,76,22413,Married,Female,Mailed Check,6,140,1195,No
I338069,6,25,19476,Widowed,Female,Mailed Check,11,200,1700,Yes
T278739,3,34,96383,Married,Male,Mailed Check,16,203,2121,Yes
R857699,1,46,28023,Divorced,Female,Electronic Check,13,160,1238,No
Q386914,1,73,35478,Married,Female,Mailed Check,8,150,847,No
T132275,8,57,10156,Divorced,Female,Electronic Check,8,150,1113,Yes
T392167,3,58,87537,Divorced,Male,Electronic Check,12,137,1623,No
J315269,4,70,34112,Never Married,Male,Bank Transfer(automatic),10,188,1480,Yes
B124449,0,53,32654,Married,Male,Mailed Check,16,165,2145,Yes
P954849,0,31,35321,Married,Male,Credit Card (automatic),14,160,1522,Yes
K20948,0,38,49277,Widowed,Female,Electronic Check,19,172,1975,No
M893176,0,26,37298,Widowed,Female,Electronic Check,10,205,1261,Yes
P765785,2,44,14929,Widowed,Male,Electronic Check,7,147,940,No
X780945,3,66,24703,Divorced,Female,Electronic Check,13,162,1357,Yes
H776847,1,58,87536,Divorced,Male,Mailed Check,9,120,1457,No
A471876,6,51,63167,Divorced,Female,Bank Transfer(automatic),4,208,938,Yes
B424659,4,34,11857,Separated,Female,Mailed Check,3,195,830,No
F111037,0,87,27327,Widowed,Male,Credit Card (automatic),6,175,738,No
S690107,1,67,12779,Divorced,Female,Mailed Check,16,240,1782,Yes
Q991854,4,59,25520,Never Married,Male,Credit Card (automatic),23,240,2465,Yes
U560834,7,23,46871,Divorced,Male,Mailed Check,17,140,2392,No
P452772,0,42,77384,Widowed,Male,Credit Card (automatic),13,240,1664,Yes
B949126,1,24,47395,Divorced,Female,Bank Transfer(automatic),5,210,1434,Yes
F697244,2,81,90978,Widowed,Female,Mailed Check,4,147,823,No
F501848,8,78,135728,Separated,Male,Mailed Check,8,107,1468,No
Q971369,1,51,47726,Separated,Female,Credit Card (automatic),2,153,591,Yes
W186069,1,70,51722,Never Married,Female,Bank Transfer(automatic),6,80,419,No
Y292243,0,87,41531,Married,Female,Mailed Check,7,142,1182,No
F333860,0,46,33505,Divorced,Female,Bank Transfer(automatic),1,117,733,No
Z534243,8,56,34197,Widowed,Female,Electronic Check,12,220,1719,Yes
O249806,4,44,11519,Married,Male,Electronic Check,3,152,1206,Yes
V143753,0,33,31065,Never Married,Female,Electronic Check,10,175,1261,No
A715491,0,19,32097,Widowed,Female,Bank Transfer(automatic),4,202,742,Yes
D986940,1,31,23425,Never Married,Male,Credit Card (automatic),3,210,933,Yes
Z147347,1,34,35988,Separated,Female,Bank Transfer(automatic),16,140,1709,No
W830673,4,43,35540,Never Married,Male,Mailed Check,6,140,1364,No
Q470894,1,82,27959,Separated,Male,Bank Transfer(automatic),4,137,472,No
I584048,6,36,52233,Widowed,Female,Credit Card (automatic),3,102,558,No
J779175,1,48,18199,Never Married,Male,Electronic Check,1,253,815,Yes
O82369,0,52,16852,Widowed,Male,Electronic Check,19,195,2007,Yes
U528986,1,35,16440,Never Married,Male,Bank Transfer(automatic),12,243,2088,Yes
K33780,3,83,44224,Widowed,Female,Electronic Check,14,127,1431,No
M720169,0,20,33344,Widowed,Male,Electronic Check,4,130,822,No
Q279060,0,25,30665,Separated,Female,Electronic Check,18,240,2059,Yes
V840276,0,88,31934,Divorced,Male,Bank Transfer(automatic),3,175,618,No
B248010,1,54,26676,Widowed,Female,Electronic Check,6,170,758,No
C805115,1,46,67212,Never Married,Male,Electronic Check,5,163,895,Yes
D89225,2,75,31137,Widowed,Female,Electronic Check,12,120,1640,No
X904034,5,66,40661,Widowed,Male,Bank Transfer(automatic),5,137,711,No
B148329,0,51,10607,Divorced,Female,Credit Card (automatic),8,207,1092,No
X914490,3,81,92448,Divorced,Female,Bank Transfer(automatic),1,150,757,No
U120690,0,75,13612,Never Married,Male,Electronic Check,20,225,2302,No
F116821,3,54,13765,Widowed,Female,Electronic Check,16,233,2401,Yes
X389713,2,73,53020,Never Married,Male,Credit Card (automatic),16,117,1536,No
M379067,0,53,42523,Separated,Male,Electronic Check,12,137,1537,No
A81135,8,33,52144,Never Married,Female,Electronic Check,16,220,2154,No
V280043,5,41,19098,Widowed,Female,Bank Transfer(automatic),21,125,2409,No
U169694,1,59,11301,Divorced,Female,Bank Transfer(automatic),5,200,1343,No
N162822,3,23,17814,Separated,Female,Bank Transfer(automatic),3,160,1046,Yes
K618387,1,32,22533,Widowed,Female,Electronic Check,5,245,1204,Yes
D944092,3,51,19974,Never Married,Female,Credit Card (automatic),10,255,1617,Yes
F908532,1,46,45147,Never Married,Female,Bank Transfer(automatic),3,135,345,No
K380097,3,37,10330,Married,Male,Credit Card (automatic),7,160,1427,Yes
R717119,0,53,15281,Never Married,Male,Bank Transfer(automatic),10,140,1452,No
X978383,1,62,11218,Divorced,Male,Bank Transfer(automatic),6,180,795,Yes
L693606,1,57,17516,Separated,Female,Credit Card (automatic),9,127,1334,No
Q486994,2,80,20567,Married,Female,Credit Card (automatic),5,233,1402,Yes
R463442,1,43,36129,Married,Male,Bank Transfer(automatic),12,195,1447,Yes
O40995,1,35,52130,Divorced,Male,Bank Transfer(automatic),5,268,1663,Yes
I933613,1,63,25985,Never Married,Female,Mailed Check,18,150,1708,No
O900811,1,63,10910,Widowed,Female,Bank Transfer(automatic),15,220,2182,Yes
F269503,1,27,41151,Divorced,Female,Mailed Check,16,157,1576,No
V549313,4,19,64063,Married,Female,Electronic Check,8,127,1029,No
Y254714,1,40,20414,Never Married,Female,Electronic Check,24,140,2370,No
C125388,0,42,41412,Widowed,Male,Electronic Check,26,255,3310,Yes
D901316,0,40,99195,Married,Female,Mailed Check,9,195,1623,Yes
H906834,0,72,18409,Married,Female,Mailed Check,13,180,1146,No
W551882,3,61,15930,Separated,Male,Credit Card (automatic),17,175,2229,Yes
D402022,0,71,25611,Divorced,Male,Electronic Check,20,188,2512,No
M545162,4,68,9429,Divorced,Female,Electronic Check,12,170,1297,No
C459569,1,88,3810,Never Married,Female,Credit Card (automatic),3,115,283,No
O226386,1,64,118022,Widowed,Male,Electronic Check,14,152,1948,Yes
G954415,1,63,51993,Married,Female,Electronic Check,5,208,849,Yes
E475593,0,53,79993,Divorced,Female,Credit Card (automatic),23,148,2131,No
D160442,0,41,37707,Widowed,Male,Credit Card (automatic),6,200,1464,No
J757606,2,63,22467,Married,Male,Bank Transfer(automatic),13,137,1382,No
E791178,4,56,16608,Married,Female,Electronic Check,12,135,1249,No
U451201,2,27,25146,Divorced,Male,Bank Transfer(automatic),2,147,558,No
Z817431,2,47,58882,Divorced,Male,Mailed Check,2,197,676,No
A295468,4,42,31809,Never Married,Female,Bank Transfer(automatic),14,163,1642,No
S986240,0,72,27236,Widowed,Female,Bank Transfer(automatic),15,210,1812,Yes
H472673,3,58,70477,Married,Male,Electronic Check,4,160,1067,Yes
H146363,0,33,49396,Widowed,Male,Electronic Check,10,190,1514,Yes
S596844,6,87,35061,Never Married,Female,Electronic Check,1,203,1190,Yes
K458306,0,34,66056,Divorced,Female,Bank Transfer(automatic),12,135,1114,No
N279711,7,76,91336,Widowed,Male,Electronic Check,2,143,1078,No
P760514,3,38,54350,Widowed,Male,Electronic Check,7,115,854,No
H849889,0,47,75042,Separated,Female,Credit Card (automatic),7,233,1489,Yes
R379090,7,84,91001,Widowed,Male,Bank Transfer(automatic),11,243,1649,Yes
L187290,4,19,44426,Widowed,Male,Electronic Check,3,202,905,Yes
X525693,0,87,63284,Divorced,Female,Electronic Check,9,125,685,No
T515102,3,75,14039,Widowed,Male,Electronic Check,10,175,1663,No
V571104,0,37,12453,Divorced,Male,Mailed Check,15,225,2437,Yes
V824084,1,52,15934,Never Married,Female,Mailed Check,24,275,2678,Yes
L189856,0,24,48314,Separated,Male,Credit Card (automatic),11,288,1779,Yes
D07066,4,83,5512,Married,Male,Electronic Check,11,178,1495,Yes
N584184,3,19,10701,Never Married,Female,Credit Card (automatic),7,220,1741,Yes
K578402,1,78,10767,Divorced,Male,Mailed Check,2,198,705,Yes
Y413092,4,61,13494,Separated,Female,Bank Transfer(automatic),2,195,558,No
F980573,0,38,25072,Separated,Male,Mailed Check,9,175,1282,Yes
I581177,0,79,369,Never Married,Male,Electronic Check,2,147,288,Yes
U469398,0,49,27977,Divorced,Female,Electronic Check,12,135,1130,No
I85282,0,41,56155,Married,Female,Mailed Check,3,157,394,No
Z317359,0,75,62146,Widowed,Female,Credit Card (automatic),10,255,1302,No
I981930,1,60,6518,Married,Female,Mailed Check,10,137,970,No
N227355,1,70,19090,Never Married,Male,Mailed Check,23,235,2523,No
E805998,0,23,13194,Divorced,Male,Mailed Check,5,147,683,Yes
J633340,2,84,63963,Married,Female,Mailed Check,7,233,1537,Yes
L762626,1,63,34448,Married,Male,Mailed Check,21,137,1962,Yes
S206250,2,88,36315,Separated,Female,Credit Card (automatic),2,130,676,No
C917569,0,44,5009,Divorced,Female,Bank Transfer(automatic),4,243,929,Yes
L282757,1,49,14203,Never Married,Female,Mailed Check,12,188,1849,Yes
D762674,8,32,54780,Married,Male,Mailed Check,12,233,1999,Yes
N914081,1,69,36453,Divorced,Male,Mailed Check,21,160,1899,No
K905632,2,60,11251,Separated,Female,Bank Transfer(automatic),4,160,992,Yes
H247341,0,57,65951,Separated,Female,Credit Card (automatic),11,137,995,No
N02836,8,62,15292,Separated,Female,Mailed Check,1,245,954,Yes
P742927,0,26,41879,Divorced,Male,Bank Transfer(automatic),13,117,1776,No
V109553,0,85,17081,Divorced,Female,Electronic Check,6,210,1297,Yes
J227266,2,82,68122,Separated,Female,Electronic Check,19,170,1746,No
F881222,2,40,39469,Widowed,Female,Electronic Check,10,197,1698,No
O167724,0,50,123763,Divorced,Male,Bank Transfer(automatic),5,138,665,Yes
Y554348,1,71,84301,Separated,Male,Electronic Check,12,207,1886,Yes
N800767,2,48,42470,Never Married,Male,Electronic Check,8,160,959,No
B363210,0,24,75459,Separated,Female,Electronic Check,15,147,1446,No
P903407,3,79,60346,Never Married,Male,Credit Card (automatic),6,127,775,No
O825386,4,82,76067,Separated,Male,Electronic Check,18,140,1940,No
Q76170,2,68,42755,Divorced,Female,Mailed Check,8,220,1166,Yes
J04574,5,77,76874,Widowed,Male,Mailed Check,4,215,751,No
R620556,1,19,41076,Widowed,Female,Electronic Check,11,140,1292,No
S136763,1,80,63096,Widowed,Male,Electronic Check,14,270,2335,Yes
J790219,4,31,82132,Separated,Female,Electronic Check,3,202,770,Yes
O403373,2,62,28502,Divorced,Male,Credit Card (automatic),17,172,1730,No
S256934,4,80,9451,Separated,Male,Electronic Check,4,137,649,Yes
F693121,1,36,44977,Married,Male,Bank Transfer(automatic),6,105,823,No
O154545,0,72,13583,Widowed,Male,Bank Transfer(automatic),4,175,1108,No
A745374,0,50,42094,Married,Male,Mailed Check,4,140,684,No
W893206,3,31,55399,Widowed,Male,Electronic Check,4,145,1301,No
H113074,0,22,22363,Never Married,Female,Electronic Check,10,115,1079,No
J779911,0,50,40271,Married,Male,Credit Card (automatic),10,172,1283,Yes
Y832510,0,28,56179,Divorced,Male,Electronic Check,9,125,988,No
S528947,0,63,21053,Never Married,Male,Electronic Check,9,175,1088,No
V592787,1,73,75867,Separated,Female,Credit Card (automatic),8,92,583,No
H283133,3,72,74061,Never Married,Male,Bank Transfer(automatic),12,140,1779,No
W884202,7,23,35103,Never Married,Male,Electronic Check,2,192,900,Yes
N447597,1,49,26391,Never Married,Male,Mailed Check,14,220,1694,Yes
C416907,1,82,29982,Divorced,Female,Electronic Check,7,233,1144,Yes
A51913,1,72,51154,Divorced,Female,Credit Card (automatic),4,210,886,No
C742414,1,45,37584,Never Married,Female,Credit Card (automatic),3,115,373,No
B773959,1,73,28655,Divorced,Female,Mailed Check,14,150,1245,No
H691053,1,78,119969,Divorced,Female,Credit Card (automatic),15,185,1565,Yes
V971650,4,71,11591,Married,Male,Electronic Check,6,132,1354,No
L226598,4,67,70174,Never Married,Female,Bank Transfer(automatic),12,190,1971,Yes
K730146,1,43,8495,Widowed,Male,Electronic Check,6,92,624,No
O894158,5,27,17191,Widowed,Female,Electronic Check,23,220,3041,Yes
H307794,2,39,24732,Divorced,Male,Credit Card (automatic),1,107,865,Yes
A318319,0,52,27282,Divorced,Female,Mailed Check,21,170,2042,No
T369132,9,19,40902,Married,Female,Mailed Check,11,223,1974,Yes
T638377,0,48,87568,Married,Female,Credit Card (automatic),10,200,1756,Yes
E369828,0,22,69328,Divorced,Male,Mailed Check,12,263,1759,Yes
G948882,1,69,5194,Married,Male,Credit Card (automatic),2,152,557,Yes
Y748946,1,31,12952,Married,Male,Mailed Check,14,203,2205,No
O402306,9,79,11179,Never Married,Female,Electronic Check,9,127,1451,No
D493050,0,65,47288,Divorced,Male,Bank Transfer(automatic),5,160,609,No
D758871,4,49,114398,Married,Male,Electronic Check,6,125,1221,Yes
F353304,6,69,105647,Separated,Female,Mailed Check,1,253,745,Yes
X960330,3,74,42387,Widowed,Male,Mailed Check,8,105,1220,No
O463102,3,27,38865,Widowed,Male,Electronic Check,14,205,1771,Yes
W202562,4,79,25215,Separated,Female,Bank Transfer(automatic),6,245,1201,Yes
B323829,1,41,9302,Widowed,Female,Bank Transfer(automatic),7,95,764,No
M790643,0,51,45226,Divorced,Female,Electronic Check,9,170,1022,No
D555108,0,57,29976,Divorced,Male,Credit Card (automatic),5,207,1284,Yes
W839946,1,66,13156,Divorced,Female,Credit Card (automatic),3,115,290,No
O511762,4,85,14981,Divorced,Female,Bank Transfer(automatic),8,233,1719,Yes
B118954,9,54,24018,Divorced,Female,Credit Card (automatic),15,225,2495,No
N28336,8,79,26205,Separated,Male,Electronic Check,14,213,2271,Yes
B871043,3,56,27979,Never Married,Male,Electronic Check,1,152,568,Yes
S317408,1,80,46622,Separated,Male,Bank Transfer(automatic),3,135,380,Yes
S255098,0,37,34419,Married,Female,Electronic Check,5,200,1436,Yes
X426072,7,24,8508,Never Married,Female,Bank Transfer(automatic),9,197,1853,No
W452692,3,48,64420,Married,Male,Electronic Check,11,192,1312,No
F858862,0,68,122264,Never Married,Female,Credit Card (automatic),8,162,863,Yes
L944489,3,74,64447,Married,Male,Mailed Check,14,223,1855,Yes
K681982,1,37,20648,Never Married,Female,Electronic Check,15,115,1778,No
F240900,0,54,23957,Separated,Male,Mailed Check,5,182,764,Yes
R164095,1,84,56003,Separated,Male,Electronic Check,3,95,307,No
O534672,10,68,50151,Never Married,Male,Bank Transfer(automatic),2,172,1180,Yes
K473134,10,39,4180,Widowed,Female,Mailed Check,2,178,1040,No
W211742,4,85,70023,Widowed,Male,Mailed Check,6,208,1080,No
H500107,1,86,40729,Separated,Female,Electronic Check,5,220,776,Yes
E998043,1,70,69248,Separated,Female,Mailed Check,10,137,1062,No
E965565,1,33,65187,Widowed,Female,Electronic Check,12,160,1334,Yes
S332430,1,58,26006,Divorced,Female,Bank Transfer(automatic),25,182,2346,No
L596007,2,58,10424,Widowed,Male,Mailed Check,10,130,1492,No
R760429,4,42,28910,Divorced,Male,Bank Transfer(automatic),8,112,927,Yes
N954926,2,89,28219,Married,Male,Electronic Check,5,127,687,No
Z164087,2,63,67319,Widowed,Male,Bank Transfer(automatic),14,162,1461,No
Z714373,0,18,71348,Divorced,Male,Bank Transfer(automatic),12,155,1942,Yes
E862109,4,82,39232,Never Married,Male,Mailed Check,18,195,1924,No
S777773,8,61,28129,Separated,Male,Credit Card (automatic),8,192,1240,No
K974970,7,36,69105,Married,Male,Electronic Check,22,162,2499,No
S411723,1,87,31283,Never Married,Female,Electronic Check,2,107,302,No
C867654,0,48,65229,Separated,Male,Electronic Check,13,142,1865,Yes
